kanji_char	word	reading	pos	en_gloss	frequency_rank	han_viet
女	三女	さんじょ	n	third daughter	9310	tam nữa
女	子女	しじょ	n	sons and daughters; children	9531	tí nữa
女	侍女	じじょ	n	lady attendant; female servant; lady's maid; waiting maid	9799	? nữa
女	次女	じじょ	n	second daughter	9863	thứ nữa
女	淑女	しゅくじょ	n	lady	10628	? nữa
小	過小評価	かしょうひょうか	n	underestimation; undervaluation	5690	quá tiểu bình ?
小	最小	さいしょう	adj-no	smallest (in size, degree, etc.); least; minimum; minimal	9102	tối tiểu
小	最小限	さいしょうげん	adj-no	minimum; lowest; minimal; least	9103	tối tiểu hạn
小	山小屋	やまごや	n	mountain hut (esp. one that offers lodging to climbers and hikers); mountain cottage; mountain shanty	9359	sơn tiểu ốc
小	芝居小屋	しばいごや	n	playhouse; theatre; theater	10075	chi cư tiểu ốc
小	縮小	しゅくしょう	n	reduction; curtailment; cut; cutback; scaling down; contraction; shrinkage	10644	? tiểu
小	小さい	ちいさい	adj-i	small; little; tiny	10976	tiểu
小	小雨	こさめ	n	light rain; drizzle	10978	tiểu ?
少	希少	きしょう	adj-na	scarce; rare	6687	hơi thiểu
少	減少	げんしょう	n	decrease; reduction; decline	8048	giảm thiểu
少	最少	さいしょう	adj-no	fewest; least; smallest (number); lowest; minimum	9104	tối thiểu
少	少尉	しょうい	n	second lieutenant; sublieutenant; ensign	10977	thiểu ?
少	少し	すこし	adv	a little; a bit; a small amount; a few; some; slightly; somewhat	11020	thiểu
少	少しずつ	すこしずつ	adv	little by little; bit by bit	11021	thiểu
少	少しも	すこしも	adv	(not) at all; (not) a bit; (not) in the least; (not) in the slightest	11022	thiểu
少	少ない	すくない	adj-i	few; little; small (amount); low; scarce; insufficient; seldom; rare	11023	thiểu
上	お手上げ	おてあげ	n	being done for; giving up; being in a hopeless situation; not knowing what to do; being brought to one's knees; throwing up (one's) hands	68	thủ thượng
上	その上	そのうえ	conj	in addition; furthermore	249	thượng
上	安上がり	やすあがり	adj-na	cheap; economical	4610	an thượng
上	以上	いじょう	n-suf	not less than ...; ... and over; ... and above; ... and upwards; ... or more	4647	? thượng
上	右上	みぎうえ	n	upper right	5053	hữu thượng
上	炎上	えんじょう	n	going up in flames; destruction by fire (esp. of a large building)	5225	viêm thượng
上	屋上	おくじょう	n	rooftop	5358	ốc thượng
上	海上	かいじょう	n	(on the) sea; surface of the sea	5871	hải thượng
食	衣食住	いしょくじゅう	n	food, clothing and shelter; necessities of life	4752	y ? trú
食	飲食	いんしょく	n	food and drink; eating and drinking	5031	ẩm ?
食	飲食店	いんしょくてん	n	restaurant	5032	ẩm ? điếm
食	会食	かいしょく	n	eating together; dining together; having a meal together	5746	hội ?
食	外食	がいしょく	n	eating out; dining out	5974	ngoại ?
食	間食	かんしょく	n	eating between meals; snacking	6422	gian ?
食	給食	きゅうしょく	n	provision of lunch (e.g. at office, school, etc.); providing a meal; lunch service	6960	cấp ?
食	軽食	けいしょく	n	light meal; snack; refreshments	7659	? ?
新	スポーツ新聞	スポーツしんぶん	n	sports newspaper	2064	tân ?
新	維新	いしん	n	reformation; revolution; renewal	4743	? tân
新	一新	いっしん	n	complete change; reform; restoration; remodeling; remodelling; renewal	4872	nhất tân
新	改新	かいしん	n	reformation	5845	? tân
新	革新	かくしん	n	reform; innovation	6081	? tân
新	謹賀新年	きんがしんねん	exp	Happy New Year	7312	cẩn hạ tân nên
新	更新	こうしん	n	renewal; update; replacement; renovation; breaking (a record)	8570	canh tân
新	最新	さいしん	n	latest; newest; late-breaking (news)	9105	tối tân
人	あの人	あのひと	pn	he; she; that person	10	nhân
人	アメリカ人	アメリカじん	n	American (person)	570	nhân
人	愛人	あいじん	n	lover; mistress	4555	? nhân
人	悪人	あくにん	n	bad person; villain; scoundrel; wrongdoer; wicked person	4576	? nhân
人	偉人	いじん	n	great person; eminent figure	4660	vĩ nhân
人	一人で	ひとりで	exp	alone; by oneself; on one's own	4874	nhất nhân
人	一人前	いちにんまえ	n	one portion; one serving; one person	4875	nhất nhân tiền
人	一人息子	ひとりむすこ	n	only son	4876	nhất nhân tức tí
水	飲料水	いんりょうすい	n	drinking water	5034	ẩm liệu thuỷ
水	汚水	おすい	n	filthy water; sewage	5265	? thuỷ
水	下水	げすい	n	drainage; ditch; gutter; sewerage	5434	hạ thuỷ
水	下水道	げすいどう	n	sewer; sewer system; sewerage; drain	5435	hạ thuỷ đạo
水	海水	かいすい	n	seawater; saltwater	5872	hải thuỷ
水	海水浴	かいすいよく	n	swimming in the ocean; sea bathing; seawater bath; going for a dip in the ocean	5873	hải thuỷ ?
水	海水浴場	かいすいよくじょう	n	swimming area (in the ocean); swimming beach; seawater baths	5874	hải thuỷ ? trường
水	渇水	かっすい	n	water shortage	6171	? thuỷ
生	お誕生日おめでとうございます	おたんじょうびおめでとうございます	exp	happy birthday	83	? sinh nhật
生	一生懸命	いっしょうけんめい	adv	very hard; with utmost effort; as hard as one can; with all one's might; for dear life; eagerly; desperately	4881	nhất sinh ? mệnh
生	一年生	いちねんせい	n	first-year student; first-year pupil	4925	nhất nên sinh
生	衛生	えいせい	n	hygiene; sanitation; cleanliness; health	5155	vệ sinh
生	往生	おうじょう	n	passing on to the next life	5280	vãng sinh
生	芽生え	めばえ	n	bud; sprout	5723	? sinh
生	回生	かいせい	n	resurrection; resuscitation; coming back to life	5791	hồi sinh
生	学生	がくせい	n	student (esp. a university student)	6103	? sinh
西	関西	かんさい	n	Kansai (region comprising Kyoto, Osaka, Kobe and surrounding prefectures)	6437	? tây
西	関西弁	かんさいべん	n	Kansai dialect	6438	? tây ?
西	西	にし	n	west	12141	tây
西	西ドイツ	にしドイツ	n	West Germany (1949-1990); Federal Republic of Germany	12142	tây
西	西瓜	すいか	n	watermelon (Citrullus lanatus)	12143	tây qua
西	西欧	せいおう	n	Western Europe	12144	tây ?
西	西口	にしぐち	n	west entrance; west exit	12145	tây khẩu
西	西側	にしがわ	n	west side; west bank	12146	tây trắc
先	お先に	おさきに	adv	before; previously	75	tiên
先	ペン先	ペンさき	n	pen nibs	3633	tiên
先	勤め先	つとめさき	n	place of work	7276	cần tiên
先	軒先	のきさき	n	edge of the eaves; house frontage	7962	hiên tiên
先	口先	くちさき	n	lip service; mere words; professions	8462	khẩu tiên
先	行き先	いきさき	n	destination	8671	hàng tiên
先	最先端	さいせんたん	n	cutting edge; leading edge; forefront; state of the art	9107	tối tiên đoan
先	指先	ゆびさき	n	fingertip; finger	9597	chỉ tiên
千	一千	いっせん	num	1,000; one thousand	4888	nhất thiên
千	何千	なんぜん	n	many thousands	5497	? thiên
千	三千	さんぜん	num	3000; three thousand	9314	tam thiên
千	数千	すうせん	n	thousands; several thousand	11863	? thiên
千	千	せん	num	thousand; 1,000	12378	thiên
千	千円札	せんえんさつ	n	1,000 yen bill	12380	thiên ? trát
千	千秋楽	せんしゅうらく	n	final day of a performance; closing date; final show	12381	thiên thu ?
千	千切る	ちぎる	v5r	to tear to pieces; to tear to shreds; to tear up	12382	thiên thiết
川	河川	かせん	n	rivers	5615	hà xuyên
川	山川	さんせん	n	mountains and rivers	9360	sơn xuyên
川	小川	おがわ	n	stream; brook; creek	11005	tiểu xuyên
川	川	かわ	n	river; stream	12414	xuyên
川	川沿い	かわぞい	adj-no	along the river; riverside	12415	xuyên duyên
川	川下	かわしも	n	downstream	12416	xuyên hạ
川	川岸	かわぎし	n	riverbank; riverside	12417	xuyên ngàn
川	川上	かわかみ	n	upper reaches of a river; upstream	12418	xuyên thượng
前	お前	おまえ	pn	you	76	tiền
前	以前	いぜん	n-suf	before; prior to; ago	4648	? tiền
前	一人前	いちにんまえ	n	one portion; one serving; one person	4875	nhất nhân tiền
前	駅前	えきまえ	n	in front of a station	5167	? tiền
前	気前	きまえ	n	generosity	6664	? tiền
前	紀元前	きげんぜん	n	pre-era; BC; BCE	6689	kỉ nguyên tiền
前	空前	くうぜん	adj-no	unprecedented; record-breaking	7444	không tiền
前	午前	ごぜん	n	morning; a.m.	8224	ngọ tiền
足	一足	いっそく	n	a pair (of shoes or socks)	4894	nhất túc
足	一足	ひとあし	n	a step	4895	nhất túc
足	右足	みぎあし	n	right foot	5055	hữu túc
足	運動不足	うんどうぶそく	n	lack of physical exercise; insufficient exercise; inactivity	5103	vận động bất túc
足	遠足	えんそく	n	school trip; field trip; excursion; outing	5249	viễn túc
足	駆け足	かけあし	n	running fast; double time	7412	? túc
足	左足	ひだりあし	n	left foot	9005	tả túc
足	手足	てあし	n	hands and feet; limbs	10297	thủ túc
多	過多	かた	n	excess; surplus; superabundance	5693	quá đa
多	数多く	かずおおく	exp	in great numbers	11864	? đa
多	多	た	n	multi-	13002	đa
多	多い	おおい	adj-i	many; numerous; a lot	13003	đa
多	多寡	たか	n	degree (of something); greatness or smallness (of something); quantity; number; amount; size	13004	đa quả
多	多額	たがく	adj-no	large (amount of money); huge; hefty; expensive	13005	đa ngạch
多	多岐	たき	adj-no	diverse; various; wide-ranging	13006	đa ?
多	多元的	たげんてき	adj-na	pluralistic; plural	13007	đa nguyên đích
大	お大事に	おだいじに	exp	take care of yourself; get well soon	81	đại sự
大	偉大	いだい	adj-na	great; grand; magnificent; outstanding; mighty	4661	vĩ đại
大	医大	いだい	n	medical university; medical college; medical school	4789	? đại
大	一大	いちだい	n-pref	one large ...; a great ...	4903	nhất đại
大	過大	かだい	adj-na	excessive; too much; unreasonable	5694	quá đại
大	拡大	かくだい	n	expansion; extension	6025	? đại
大	寛大	かんだい	adj-na	tolerant; generous; lenient; broad-minded; magnanimous	6260	? đại
大	巨大	きょだい	adj-na	huge; gigantic; enormous	6997	? đại
男	一男	いちなん	n	boy; eldest son	4909	nhất nam
男	三男	さんなん	n	three sons	9316	tam nam
男	次男	じなん	n	second son	9868	thứ nam
男	大男	おおおとこ	n	big man; large man; tall man; giant	13285	đại nam
男	男	おとこ	n	man; male	13498	nam
男	男の子	おとこのこ	exp	boy; son; baby boy	13499	nam tí
男	男の人	おとこのひと	exp	man	13500	nam nhân
男	男らしい	おとこらしい	adj-i	manly; masculine; like a man	13501	nam
中	お話中	おはなしちゅう	adj-no	busy (phone)	95	thoại trung
中	アル中	アルちゅう	n	alcoholism	591	trung
中	一日中	いちにちじゅう	adv	all day long; all the day; throughout the day	4922	nhất nhật trung
中	一年中	いちねんじゅう	n	all year round	4926	nhất nên trung
中	渦中	かちゅう	n	vortex; maelstrom; whirlpool	5081	? trung
中	懐中電灯	かいちゅうでんとう	n	(electric) torch; flashlight	5831	? trung ? đăng
中	海中	かいちゅう	n	in the sea	5878	hải trung
中	寒中	かんちゅう	n	mid-winter; cold season	6215	hàn trung
長	ト長調	トちょうちょう	n	G major	2565	trường điều
長	委員長	いいんちょう	n	chairperson (of a committee); chair; chairman; chairwoman; president	4669	uỷ viên trường
長	医長	いちょう	n	medical director; chief physician	4790	? trường
長	院長	いんちょう	n	director (of a hospital, institution, academy, etc.); superintendent; rector	5035	viện trường
長	駅長	えきちょう	n	station master	5168	? trường
長	園長	えんちょう	n	head of a garden; kindergarten principal; nursery school principal; park director; zoo director; head of a plantation	5192	viên trường
長	延長	えんちょう	n	extension; elongation; prolongation; lengthening	5199	dang trường
長	課長	かちょう	n	section manager; section chief	5676	khoá trường
天	お天気	おてんき	n	weather	86	thiên ?
天	悪天候	あくてんこう	n	bad weather	4578	? thiên hầu
天	雨天	うてん	n	rainy weather	5075	? thiên
天	炎天	えんてん	n	blazing heat; scorching sun	5226	viêm thiên
天	楽天家	らくてんか	n	optimist; easy-going person	6133	? thiên gia
天	楽天的	らくてんてき	adj-na	optimistic	6134	? thiên đích
天	仰天	ぎょうてん	n	being amazed; being horrified; being taken aback	7225	ngưỡng thiên
天	後天的	こうてんてき	adj-na	acquired (e.g. characteristic); learned (e.g. behaviour)	8253	hậu thiên đích
店	飲食店	いんしょくてん	n	restaurant	5032	ẩm ? điếm
店	開店	かいてん	n	opening a new shop	5934	khai điếm
店	喫茶店	きっさてん	n	coffee shop; tearoom; coffee lounge; coffeehouse; cafe	6826	khịt trà điếm
店	支店	してん	n	branch office; branch store	9617	chi điếm
店	書店	しょてん	n	bookshop; bookstore	10861	thư điếm
店	商店	しょうてん	n	shop; store; firm	10955	thương điếm
店	商店街	しょうてんがい	n	shopping district; shopping street; downtown	10956	thương điếm ?
店	専門店	せんもんてん	n	specialist shop; shop specializing in a particular type of product	12412	? môn điếm
電	家電	かでん	n	household (electrical) appliances; home appliances; consumer electronics	5578	gia ?
電	懐中電灯	かいちゅうでんとう	n	(electric) torch; flashlight	5831	? trung ? đăng
電	外電	がいでん	n	foreign telegram	5978	ngoại ?
電	乾電池	かんでんち	n	dry cell battery	6208	kiền ? trì
電	携帯電話	けいたいでんわ	n	mobile phone; cell phone	7578	? ? ? thoại
電	公衆電話	こうしゅうでんわ	n	public telephone; pay phone	8391	công ? ? thoại
電	終電	しゅうでん	n	last train (of the day)	10478	chung ?
電	充電	じゅうでん	n	charging (electrically)	10540	sung ?
土	お土産	おみやげ	n	local specialty or souvenir bought as a gift while traveling (travelling)	87	thổ sản
土	郷土	きょうど	n	native place; birth-place; one's old home	7210	? thổ
土	国土	こくど	n	country; territory; domain; realm	8865	? thổ
土	出土	しゅつど	n	archeological excavation (archaeological)	10699	xuất thổ
土	浄土	じょうど	n	pure land (esp. the Western Pure Land paradise of Amitabha); (Buddhist) paradise	11271	? thổ
土	全土	ぜんど	n	whole nation; whole land; whole country	12594	toàn thổ
土	土	つち	n	earth; soil; dirt; clay; mud	14365	thổ
土	土間	どま	n	dirt floor; room with dirt floor	14366	thổ gian
東	関東	かんとう	n	Kantō (region comprising Tokyo and surrounding prefectures)	6442	? đang
東	極東	きょくとう	n	Far East	7263	cực đang
東	広東	カントン	n	Guangdong (China); Kwangtung	8533	? đang
東	中東	ちゅうとう	n	Middle East	13691	trung đang
東	東	ひがし	n	east	14445	đang
東	東欧	とうおう	n	Eastern Europe	14446	đang ?
東	東海	とうかい	n	Tōkai region (of Honshu; incl. Aichi, Shizuoka, Mie and southern Gifu prefectures)	14447	đang hải
東	東宮	とうぐう	n	crown prince	14448	đang ?
道	沿道	えんどう	n	roadside; wayside; route	5209	duyên đạo
道	横断歩道	おうだんほどう	n	pedestrian crossing; crosswalk	5316	hoạnh đoạn ? đạo
道	横道	よこみち	n	byway; side street; cross street	5319	hoạnh đạo
道	下水道	げすいどう	n	sewer; sewer system; sewerage; drain	5435	hạ thuỷ đạo
道	花道	はなみち	n	elevated walkway through the audience to the stage	5650	hoa đạo
道	回り道	まわりみち	n	detour; circuitous route; diversion	5783	hồi đạo
道	街道	かいどう	n	highway (esp. one existing from the Edo period); main road	6007	? đạo
道	寄り道	よりみち	n	dropping in on the way; stopping off at; making a side trip	6549	gửi đạo
読	愛読	あいどく	n	reading with pleasure	4556	? ?
読	音読	おんどく	n	reading aloud	5398	âm ?
読	音読み	おんよみ	n	on reading; on'yomi; Chinese-derived reading of a kanji	5399	âm ?
読	解読	かいどく	n	deciphering; decoding	5772	giải ?
読	句読点	くとうてん	n	punctuation mark	7375	câu ? điểm
読	訓読み	くんよみ	n	kun reading; kun'yomi; native Japanese reading of a Chinese character	7494	huấn ?
読	購読	こうどく	n	buying and reading (book, magazine, etc.); subscribing (incl. free subscriptions); taking (e.g. newspaper)	8701	? ?
読	読み	よみ	n	reading	14760	?
南	西南	せいなん	n	south-west	12147	tây nam
南	中南米	ちゅうなんべい	n	Central and South America	13695	trung nam ?
南	東南	とうなん	n	south-east	14454	đang nam
南	南	みなみ	n	south	14848	nam
南	南アフリカ	みなみアフリカ	n	South Africa	14849	nam
南	南緯	なんい	n	southern latitude	14850	nam vĩ
南	南海	なんかい	n	southern sea	14851	nam hải
南	南極	なんきょく	n	South Pole	14852	nam cực
二	一石二鳥	いっせきにちょう	exp	killing two birds with one stone	4886	nhất thạch nhì điểu
二	十二	じゅうに	num	twelve; 12	10553	thập nhì
二	十二月	じゅうにがつ	n	December	10554	thập nhì nguyệt
二	十二分	じゅうにぶん	adj-na	more than enough; more than ample; exhaustive	10555	thập nhì phân
二	真っ二つ	まっぷたつ	n	in two equal parts	11530	chân nhì
二	第二	だいに	n	second	13320	đậy nhì
二	二	に	num	two; 2	14880	nhì
二	二つ	ふたつ	num	two	14881	nhì
日	お誕生日おめでとうございます	おたんじょうびおめでとうございます	exp	happy birthday	83	? sinh nhật
日	一日中	いちにちじゅう	adv	all day long; all the day; throughout the day	4922	nhất nhật trung
日	何日	なんにち	n	what day	5503	? nhật
日	火曜日	かようび	n	Tuesday	5632	hoả ? nhật
日	幾日	いくにち	n	(for) how many days	6566	? nhật
日	期日	きじつ	n	fixed date; appointed date; set date	6590	kì nhật
日	記念日	きねんび	n	memorial day; commemoration day; anniversary	6711	kí niệm nhật
日	休日	きゅうじつ	n	holiday; day off	6885	hưu nhật
入	押し入る	おしいる	v5r	to push in; to force into; to break in (e.g. into a house); to intrude	5300	áp nhập
入	加入	かにゅう	n	joining (a club, organization, etc.); becoming a member; entry; admission; subscription; affiliation; signing (e.g. a treaty); taking out (insurance)	5526	gia nhập
入	嫁入り	よめいり	n	marriage; wedding	5551	giá nhập
入	介入	かいにゅう	n	intervention	5730	giới nhập
入	刈り入れ	かりいれ	n	harvest	6201	? nhập
入	気に入る	きにいる	exp	to like; to be pleased with; to be delighted with; to take a liking to; to suit one's fancy	6633	? nhập
入	記入	きにゅう	n	entry (in a form, register, diary, etc.); filling in; filling out	6709	kí nhập
入	逆輸入	ぎゃくゆにゅう	n	reimportation; reimport; reverse import; importing back	6861	nghịch thâu nhập
年	一周年	いっしゅうねん	n	one full year	4862	nhất chu nên
年	一年間	いちねんかん	n	(period of) one year	4924	nhất nên gian
年	一年生	いちねんせい	n	first-year student; first-year pupil	4925	nhất nên sinh
年	一年中	いちねんじゅう	n	all year round	4926	nhất nên trung
年	越年	えつねん	n	seeing the old year out; greeting the New Year; passing the winter; hibernation	5175	việt nên
年	往年	おうねん	n	years gone by; earlier years; former years; the past	5281	vãng nên
年	何年	なんねん	n	how many years; how long	5504	? nên
年	会計年度	かいけいねんど	n	fiscal year	5739	hội kể nên độ
買	購買	こうばい	n	procurement; purchase; buying	8703	? mãi
買	購買力	こうばいりょく	n	buying power; purchasing power	8704	? mãi lực
買	青田買い	あおたがい	n	speculatively buying a rice harvest, while the fields are still green	12173	thanh điền mãi
買	仲買	なかがい	n	brokerage; broker	13712	? mãi
買	買取	かいとり	n	purchase; buying; buying out	15286	mãi thủ
買	買い出し	かいだし	n	going out to shop; going shopping	15287	mãi xuất
買	買い入れる	かいいれる	v1	to purchase; to buy in	15288	mãi nhập
買	買う	かう	v5u	to buy; to purchase	15289	mãi
白	明白	めいはく	adj-na	obvious; clear; plain; evident; apparent; explicit; overt	4	minh bạch
白	空白	くうはく	n	blank space (in a document)	7451	không bạch
白	潔白	けっぱく	n	innocence; guiltlessness; purity; uprightness; integrity	7740	khiết bạch
白	紅白	こうはく	n	red and white; colours for festive or auspicious occasions (colors)	8629	hồng bạch
白	告白	こくはく	n	confession (to a crime, wrongdoing, etc.); admission	8830	? bạch
白	自白	じはく	n	confession; admission	9940	tự bạch
白	青白い	あおじろい	adj-i	pale; pallid	12176	thanh bạch
白	白	しろ	n	white	15329	bạch
八	三十八度線	さんじゅうはちどせん	n	38th parallel (that demarcates North Korea and South Korea)	9309	tam thập bát độ ?
八	尺八	しゃくはち	n	shakuhachi; end-blown fippleless bamboo flute	10158	xích bát
八	十八	じゅうはち	num	eighteen; 18	10557	thập bát
八	八つ当たり	やつあたり	n	venting one's anger (on someone or something); taking out one's anger on	15382	bát ?
八	八月	はちがつ	n	August	15383	bát nguyệt
八	八重桜	やえざくら	n	double-flowered cherry tree; double cherry blossoms	15384	bát trọng ?
八	八千代	やちよ	n	very long period; forever	15385	bát thiên đại
八	八日	ようか	n	8th day of the month	15386	bát nhật
半	過半数	かはんすう	n	majority	5701	quá bán ?
半	後半	こうはん	n	second half; latter half	8258	hậu bán
半	四畳半	よじょうはん	n	four and a half tatami mats; four-and-a-half-mat room	9502	tứ ? bán
半	四半期	しはんき	n	quarter (of a year)	9504	tứ bán kì
半	上半期	かみはんき	n	first half of the year; first half of the fiscal year	11198	thượng bán kì
半	上半身	じょうはんしん	n	upper half of the body; upper body	11199	thượng bán thân
半	折半	せっぱん	n	halving; splitting evenly; sharing equally	12292	chiết bán
半	前半戦	ぜんはんせん	n	first half of a game; first half of a match	12549	tiền bán ?
百	何百	なんびゃく	n	hundreds	5506	? bá
百	三百	さんびゃく	num	300; three hundred	9319	tam bá
百	数百	すうひゃく	n	several hundred; hundreds (of)	11868	? bá
百	二百十日	にひゃくとおか	n	210th day (from the first day of spring according to the lunar calendar); the storm day	14906	nhì bá thập nhật
百	二百二十日	にひゃくはつか	n	220th day; end of the storm period	14907	nhì bá nhì thập nhật
百	八百屋	やおや	n	greengrocer; fruit and vegetable shop	15387	bát bá ốc
百	百	ひゃく	num	hundred; 100	15746	bá
百	百億	ひゃくおく	num	10,000,000,000; ten billion	15747	bá ức
父	お祖父さん	おじいさん	n	grandfather	77	? ?
父	お父さん	おとうさん	n	father; dad; papa; pa; pop; daddy; dada	90	?
父	義父	ぎふ	n	father-in-law	6797	nghĩa ?
父	神父	しんぷ	n	Catholic priest; abbe; reverend father; minister; padre	11571	thần ?
父	親父	おやじ	n	one's father; one's old man; dad; pops	11597	thân ?
父	祖父	そふ	n	grandfather	12630	? ?
父	祖父母	そふぼ	n	grandparents	12631	? ? mẫu
父	父	ちち	n	father	16020	?
分	一部分	いちぶぶん	n	one part; one portion; one section	4945	nhất bộ phân
分	一分	いちぶ	n	one tenth; one hundredth; one percent; one tenth of a sun; one quarter ryō (an old coin)	4947	nhất phân
分	引き分け	ひきわけ	n	draw (in competition); tie game	5012	dẫn phân
分	塩分	えんぶん	n	salt; salt content	5259	? phân
分	応分	おうぶん	adj-na	according to one's abilities; appropriate; reasonable	5293	? phân
分	仮処分	かりしょぶん	n	provisional disposition; temporary injunction	5462	? ? phân
分	何分	なにぶん	n	some; any; (a) little; of some kind; of some sort	5507	? phân
分	何分	なんぷん	n	what minute; how many minutes	5508	? phân
聞	スポーツ新聞	スポーツしんぶん	n	sports newspaper	2064	tân ?
聞	見聞	けんぶん	n	information; experience; knowledge; observation	7948	kiến ?
聞	醜聞	しゅうぶん	n	scandal	10521	xấu ?
聞	新聞	しんぶん	n	newspaper	11491	tân ?
聞	新聞紙	しんぶんし	n	newsprint; newspaper used for wrapping, packing, etc.	11492	tân ? chỉ
聞	新聞社	しんぶんしゃ	n	newspaper company	11493	tân ? xã
聞	前代未聞	ぜんだいみもん	n	unheard-of; unprecedented; unparalleled in history (unparallelled); record-breaking	12539	tiền đại mùi ?
聞	聞かす	きかす	v5s	to let (someone) hear; to tell (e.g. a story); to inform (of)	16294	?
母	お祖母さん	おばあさん	n	grandmother	78	? mẫu
母	お母さん	おかあさん	n	mother; mom; mum; ma	93	mẫu
母	義母	ぎぼ	n	mother-in-law	6798	nghĩa mẫu
母	空母	くうぼ	n	aircraft carrier	7453	không mẫu
母	賢母	けんぼ	n	wise mother	7959	hiền mẫu
母	航空母艦	こうくうぼかん	n	aircraft carrier	8659	hàng không mẫu ?
母	酵母	こうぼ	n	yeast; leaven	8707	? mẫu
母	聖母	せいぼ	n	mother of a holy person	12124	thánh mẫu
北	東北	とうほく	n	north-east	14458	đang ?
北	南北	なんぼく	n	north and south; north to south	14858	nam ?
北	敗北	はいぼく	n	defeat; loss; reverse; setback	15238	bại ?
北	北	きた	n	north	16747	?
北	北北東	ほくほくとう	n	north-northeast; north-north-east	16748	? ? đang
北	北アイルランド	きたアイルランド	n	Northern Ireland	16749	?
北	北緯	ほくい	n	north latitude	16750	? vĩ
北	北欧	ほくおう	n	Northern Europe; Nordic countries; Scandinavia	16751	? ?
本	一本	いっぽん	n	one long cylindrical thing; one film, TV show, etc.; one goal, home run, etc.; one telephone call	4956	nhất bản
本	絵本	えほん	n	picture book	5905	? bản
本	基本	きほん	n	basics; fundamentals; basis; foundation	6534	cơ bản
本	基本的	きほんてき	adj-na	fundamental; basic	6535	cơ bản đích
本	脚本	きゃくほん	n	script; screenplay; scenario	6846	? bản
本	見本	みほん	n	sample; specimen; pattern	7952	kiến bản
本	見本市	みほんいち	n	trade fair	7953	kiến bản thị
本	本	もと	n	origin; source; beginning	7973	bản
毎	毎	ごと	n	each; every	16879	?
毎	毎	まい	pref	every (usu. with events, e.g. every weekend); each	16880	?
毎	毎に	ごとに	exp	one by one; each; every; at intervals of	16881	?
毎	毎回	まいかい	n	every time; each round	16882	? hồi
毎	毎時	まいじ	n	every hour; hourly	16883	? thì
毎	毎週	まいしゅう	n	every week	16884	? chu
毎	毎朝	まいあさ	n	every morning	16885	? triều
毎	毎度	まいど	adv	each time; every time; always; often	16886	? độ
万	１０万	じゅうまん	num	100,000; hundred thousand	10559	vạn
万	波乱万丈	はらんばんじょう	adj-no	stormy and full of drama; full of ups and downs; with many vicissitudes	15186	ba loạn vạn trượng
万	１００万	ひゃくまん	num	1,000,000; one million; million	15751	vạn
万	万が一	まんがいち	adv	(if) by some chance; by some possibility; in the unlikely event that; 10000 to 1	16912	vạn nhất
万	万一	まんいち	n	(unlikely event of) emergency; the worst(-case scenario); 10000 to 1	16913	vạn nhất
万	万引き	まんびき	n	shoplifting; shoplifter	16914	vạn dẫn
万	万国	ばんこく	n	all countries; the whole world; universal; all nations	16915	vạn ?
万	万事	ばんじ	n	all; everything	16916	vạn sự
名	異名	いみょう	n	another name; nickname; alias	4726	? danh
名	汚名	おめい	n	bad name; bad reputation; disgrace; dishonour; dishonor; stigma; infamy	5270	? danh
名	仮名遣い	かなづかい	n	kana orthography; syllabary spelling	5467	? danh khiến
名	改名	かいめい	n	name change	5857	? danh
名	芸名	げいめい	n	stage name	7676	? danh
名	功名	こうみょう	n	great achievement; glorious deed; (gaining) fame; (earning) distinction	8428	công danh
名	国名	こくめい	n	country name	8881	? danh
名	指名	しめい	n	naming; nominating; designating	9603	chỉ danh
木	荒木	あらき	n	logs in bark; rough wood; unseasoned timber; new lumber	8669	hoang mộc
木	黒木	くろき	n	unbarked lumber	8906	? mộc
木	材木	ざいもく	n	wood (for building); lumber; timber	9199	? mộc
木	雑木林	ぞうきばやし	n	grove of miscellaneous trees; copse; coppice; thicket	9295	? mộc lâm
木	樹木	じゅもく	n	tree; trees and shrubs	10404	thụ mộc
木	植木鉢	うえきばち	n	flowerpot; plant pot	11303	thực mộc ?
木	大木	たいぼく	n	large tree	13309	đại mộc
木	庭木	にわき	n	garden tree	14094	đình mộc
目	一目	ひとめ	n	glance; look; glimpse	4962	nhất mục
目	引け目	ひけめ	n	sense of inferiority; one's weak point	5018	dẫn mục
目	羽目	はめ	n	panel; wainscoting; wainscotting	5069	võ mục
目	演目	えんもく	n	program (musical, concert, theatrical, etc.); programme	5222	diễn mục
目	横目	よこめ	n	sidelong glance	5324	hoạnh mục
目	回目	かいめ	suf	nth time	5799	hồi mục
目	皆目	かいもく	adv	entirely; (not) at all	5897	giai mục
目	境目	さかいめ	n	borderline; boundary	7109	cảnh mục
友	学友	がくゆう	n	school friend	6115	? hữu
友	血友病	けつゆうびょう	n	hemophilia; haemophilia	7773	huyết hữu bệnh
友	交友	こうゆう	n	friend; companion; acquaintance	8342	giao hữu
友	親友	しんゆう	n	close friend; bosom friend; buddy; crony; chum	11602	thân hữu
友	盟友	めいゆう	n	sworn friend	17166	? hữu
友	友	とも	n	friend; companion; comrade; pal	17421	hữu
友	友愛	ゆうあい	n	fraternity; friendship	17422	hữu ?
友	友好	ゆうこう	n	friendship	17423	hữu háo
来	ことが出来る	ことができる	exp	to be able (to); to be possible (to)	165	xuất ?
